"The Neighbourhood","Scary Love",Alternative
"Bad Wolves","Zombie",Alternative
"Drake","God's Plan",Hip Hop
"Bruno Mars & Cardi B","Finesse",Hip Hop
"Post Malone Featuring Ty Dolla $ign","Psycho",Hip Hop
"BlocBoy JB Featuring Drake","Look Alive",Hip Hop
"Lil Dicky Featuring Chris Brown","Freaky Friday",Hip Hop
"XXXTentacion","Sad!",Hip Hop
"The Weeknd & Kendrick Lamar","Pray For Me",Hip Hop
"Migos","Stir Fry",Hip Hop
"Migos Featuring Drake","Walk It Talk It",Hip Hop
"Kendrick Lamar & SZA","All The Stars",Hip Hop
"Offset & Metro Boomin","Ric Flair Drip",Hip Hop
"Rich The Kid","Plug Walk",Hip Hop
"NF","Let You Down",Hip Hop
"G-Eazy & Halsey","Him & I",Hip Hop
"Jay Rock, Kendrick Lamar, Future & James Blake","King's Dead",Hip Hop
"N*E*R*D & Rihanna","Lemon",Hip Hop
"Rae Sremmurd & Juicy J","Powerglide",Hip Hop
"XXXTentacion","Changes",Hip Hop
"YoungBoy Never Broke Again","Outside Today",Hip Hop
"Rich The Kid Featuring Kendrick Lamar","New Freezer",Hip Hop
"Migos, Nicki Minaj & Cardi B","MotorSport",Hip Hop
"Cardi B Featuring 21 Savage","Bartier Cardi",Hip Hop
"XXXTentacion","Moonlight",Hip Hop
"6ix9ine","Gummo",Hip Hop
"6ix9ine","Billy",Hip Hop
"Derez De'Shon","Hardaway",Hip Hop
" DJ Khaled Featuring JAY Z, Future & B","Top Off",Hip Hop
"Logic & Marshmello","Everyday",Hip Hop
"Lil Skies Featuring Landon Cube","Red Roses",Hip Hop
"Famous Dex","Japan",Hip Hop
"Lil Yachty Featuring NBA YoungBoy","NBAYoungboat",Hip Hop
"Jhene Aiko Featuring Swae Lee Or Rae Sremmurd","Sativa",Hip Hop
"Lil Skies Featuring Landon Cube","Nowadays",Hip Hop
"Logic","44 More",Hip Hop
"Migos","Narcos",Hip Hop
"Chris Brown","Tempo",Hip Hop
"Blac Youngsta","Booty",Hip Hop
"YBN Nahmir","Rubbin Off The Paint",Hip Hop
"XXXTentacion","The Remedy For A Broke Heart (Why Am I So In Love)",Hip Hop
"Trippie Redd Featuring Travis Scott","Dark Knight Dummo",Hip Hop
"Daniel Caesar Featuring Kali Uchis","Get You",Hip Hop
"Ella Mai","Boo'd Up",Hip Hop
"Jacquees X Dej Loaf","At The Club",Hip Hop
"Queen Naija","Medicine",Hip Hop
"HER","Focus",Hip Hop
"SZA","Broken Clocks",Hip Hop
"YBN Nahmir","Bounce Out With That",Hip Hop
"Eminem Featuring Ed Sheeran","River",Hip Hop
"BlocBoy JB Featuring 21 Savage","Rover 20",Hip Hop
"6ix9ine","Kooda",Hip Hop
