Butterflies,Kacey Musgraves,Country,798,427,272,85,13,1,1,0,0,0,0
NBAYoungboat,Lil Yachty Featuring NBA YoungBoy,Hip Hop,241,164,70,6,2,0,0,0,0,0,0
Live In The Moment,Portugal The Man,Alternative,67,40,21,6,0,1,0,0,0,0,0
Sad!,XXXTentacion,Hip Hop,39,30,8,2,0,0,0,0,0,0,0
I Lived It,Blake Shelton,Country,99,66,27,6,1,0,0,0,0,0,0
On The Loose,Niall Horan,Pop,53,39,13,2,0,0,0,0,0,0,0
Ric Flair Drip,Offset & Metro Boomin,Hip Hop,184,111,52,15,4,3,0,0,0,0,0
Hold Me Tight Or Don't,Fall Out Boy,Rock,68,43,17,8,0,0,0,0,0,1,0
Contra,Logic,Hip Hop,156,104,41,11,1,0,0,0,0,0,0
Sorry,Nothing But Thieves,Alternative,65,41,22,2,1,0,0,0,0,0,0
All On Me,Devin Dawson,Country,173,98,60,12,3,1,0,0,0,0,0
Hangin' On,Chris Young,Country,61,45,15,1,1,0,0,0,0,0,0
Perfect,Ed Sheeran,Pop,90,51,35,5,0,0,0,0,0,0,0
Freaky Friday,Lil Dicky Featuring Chris Brown,Hip Hop,220,144,67,7,3,0,0,0,0,0,0
Get Out,CHVRCHES,Alternative,154,103,45,6,1,0,0,0,0,0,0
Sober Up,AJR Featuring Rivers Cuomo,Alternative,57,32,23,3,0,0,0,0,0,0,0
Curious,Hayley Kiyoko,Pop,100,74,20,5,1,0,0,1,0,0,0
Hardaway,Derez De'Shon,Hip Hop,175,110,55,9,1,1,0,0,0,0,0
Tempo,Chris Brown,Hip Hop,186,122,55,8,1,1,0,0,0,0,0
X,ScHoolboy Q,2 Chainz & Saudi,137,94,37,6,1,0,0,0,0,0,0
New Freezer,Rich The Kid Featuring Kendrick Lamar,Hip Hop,171,115,52,3,2,0,0,0,0,0,0
Alone,Halsey Featuring Big Sean & Stefflon Don,Pop,149,98,48,4,0,0,0,0,0,0,0
Heaven,Kane Brown,Country,112,74,35,4,0,0,0,0,0,0,0
Broken Halos,Chris Stapleton,Country,33,23,7,4,0,0,0,0,0,0,0
Can't Deny Me,Pearl Jam,Alternative,167,96,52,14,5,1,0,0,0,0,0
Kinda Don't Care,Justin Moore,Country,59,38,21,1,0,0,0,0,0,0,0
ThunderYoung Dumb & Broke (Medley),Imagine Dragons + Khalid,Rock,80,49,27,4,1,0,0,0,0,0,0
Take Back Home Girl,Chris Lane Featuring Tori Kelly,Country,82,54,21,8,0,0,0,0,0,0,0
White Flag,Bishop Briggs,Alternative,49,38,9,3,0,0,0,0,0,0,0
Sativa,Jhene Aiko Featuring Swae Lee Or Rae Sremmurd,Hip Hop,122,87,25,5,5,1,0,0,0,0,0
Something 'Bout You,Sir Rosevelt,Country,156,103,43,8,3,0,0,0,0,0,0
Plug Walk,Rich The Kid,Hip Hop,126,96,28,2,1,0,0,0,0,0,0
The Long Way,Brett Eldredge,Country,69,46,20,4,0,0,0,0,0,0,0
Up All Night,Beck,Alternative,188,120,57,9,3,0,0,0,0,0,0
Overnight,Logic,Hip Hop,139,92,40,8,0,0,0,0,0,0,0
Top Off,DJ Khaled Featuring JAY Z,Future & B,216,137,68,9,3,0,0,0,0,0,0
Thunder,Imagine Dragons,Rock,51,29,22,1,0,0,0,0,0,0,0
Walk On Water,Thirty Seconds To Mars,Pop,273,171,78,21,3,1,0,0,0,0,0
Lemon,N*E*R*D & Rihanna,Hip Hop,166,101,51,11,3,1,0,0,0,0,0
Say Something,Justin Timberlake Featuring Chris Stapleton,Pop,30,13,18,0,0,0,0,0,0,0,0
Rise Up,Imagine Dragons,Rock,69,32,36,0,2,0,0,0,0,0,0
Pray For Me,The Weeknd & Kendrick Lamar,Hip Hop,109,74,28,7,1,0,0,0,0,0,0
Where's My Love,SYML,Alternative,44,39,6,0,0,0,0,0,0,0,0
Safari Song,Greta Van Fleet,Rock,64,48,14,3,0,0,0,0,0,0,0
Narcos,Migos,Hip Hop,268,156,95,14,2,2,0,0,0,0,0
I Was Jack (You Were Diane),Jake Owen,Country,77,50,22,5,0,1,0,0,0,0,0
No Roots,Alice Merton,Alternative,62,39,20,3,1,0,0,0,0,0,0
One Foot,WALK THE MOON,Alternative,63,43,16,5,0,0,0,0,0,0,0
